date,lineup1,lineup2,lineup3,lineup4,lineup5,lineup6,lineup7,lineup8,lineup9,
2025-02-21, Jasson Dominguez, Cody Bellinger, Paul Goldschmidt, Jazz Chisholm Jr., Anthony Volpe, J.C. Escarra, Pablo Reyes, Oswald Peraza, Everson Pereira,
2025-02-22, Ben Rice, Oswaldo Cabrera, Dominic Smith, Everson Pereira, Spencer Jones, George Lombard Jr., Ismael Munguia, Braden Shewmake, Duke Ellis,
2025-02-23, Jazz Chisholm Jr., Paul Goldschmidt, Cody Bellinger, Jasson Dominguez, Anthony Volpe, J.C. Escarra, Alex Jackson, Duke Ellis, Oswald Peraza,
2025-02-25, Ben Rice, Oswaldo Cabrera, Dominic Smith, Pablo Reyes, Spencer Jones, Everson Pereira, T.J. Rumfield, Roderick Arias, Ismael Munguia,
2025-02-26, Jazz Chisholm Jr., Jasson Dominguez, Cody Bellinger, Paul Goldschmidt, Austin Wells, Anthony Volpe, Dominic Smith, Pablo Reyes, Oswald Peraza,
2025-02-27, Jazz Chisholm Jr., Anthony Volpe, Jasson Dominguez, Ben Rice, Everson Pereira, Oswaldo Cabrera, Spencer Jones, Alex Jackson, Duke Ellis,
2025-02-28, Austin Wells, Paul Goldschmidt, Cody Bellinger, Oswaldo Cabrera, Pablo Reyes, Spencer Jones, Oswald Peraza, Andrew Velazquez, Alex Jackson,
2025-03-01, Jazz Chisholm Jr., Aaron Judge, Jasson Dominguez, Anthony Volpe, Ben Rice, DJ LeMahieu, Dominic Smith, George Lombard Jr., Duke Ellis,
2025-03-02, Austin Wells, Paul Goldschmidt, Cody Bellinger, Jasson Dominguez, Everson Pereira, Oswaldo Cabrera, Pablo Reyes, Duke Ellis, Oswald Peraza,
2025-03-03, Jazz Chisholm Jr., Aaron Judge, Cody Bellinger, Anthony Volpe, Trent Grisham, Ben Rice, Alex Jackson, Dominic Smith, Oswald Peraza,
2025-03-04, Austin Wells, Paul Goldschmidt, Jasson Dominguez, J.C. Escarra, Oswaldo Cabrera, Pablo Reyes, Jorbit Vivas, George Lombard Jr., Spencer Jones,
2025-03-06, Austin Wells, Aaron Judge, Cody Bellinger, Paul Goldschmidt, Jazz Chisholm Jr., Anthony Volpe, Jasson Dominguez, Trent Grisham, Oswaldo Cabrera,
2025-03-07, Austin Wells, Aaron Judge, Cody Bellinger, Paul Goldschmidt, Trent Grisham, Dominic Smith, Oswald Peraza, Jorbit Vivas, Andrew Velazquez,
2025-03-08, Jazz Chisholm Jr., Anthony Volpe, Ben Rice, Jasson Dominguez, J.C. Escarra, Oswaldo Cabrera, Pablo Reyes, Spencer Jones, T.J. Rumfield,
2025-03-09, Ben Rice, Anthony Volpe, Jazz Chisholm Jr., Jasson Dominguez, J.C. Escarra, Oswaldo Cabrera, Oswald Peraza, Ismael Munguia, Duke Ellis,
2025-03-10, Austin Wells, Aaron Judge, Cody Bellinger, Paul Goldschmidt, Trent Grisham, Dominic Smith, George Lombard Jr., Jorbit Vivas, Andrew Velazquez,
