date,lineup1,lineup2,lineup3,lineup4,lineup5,lineup6,lineup7,lineup8,lineup9,
2026-03-26, Taylor Ward, Gunnar Henderson, Pete Alonso, Adley Rutschman, Samuel Basallo, Tyler O'Neill, Colton Cowser, Coby Mayo, Blaze Alexander,
2026-03-28, Taylor Ward, Gunnar Henderson, Pete Alonso, Adley Rutschman, Samuel Basallo, Dylan Beavers, Coby Mayo, Colton Cowser, Jeremiah Jackson,
2026-03-29, Taylor Ward, Gunnar Henderson, Pete Alonso, Ryan Mountcastle, Samuel Basallo, Tyler O'Neill, Coby Mayo, Dylan Beavers, Jeremiah Jackson,
2026-03-30, Taylor Ward, Gunnar Henderson, Pete Alonso, Adley Rutschman, Tyler O'Neill, Dylan Beavers, Coby Mayo, Colton Cowser, Blaze Alexander,
2026-03-31, Taylor Ward, Gunnar Henderson, Pete Alonso, Adley Rutschman, Samuel Basallo, Tyler O'Neill, Colton Cowser, Jeremiah Jackson, Blaze Alexander,
2026-04-01, Taylor Ward, Gunnar Henderson, Pete Alonso, Samuel Basallo, Coby Mayo, Dylan Beavers, Colton Cowser, Leody Taveras, Jeremiah Jackson,
2026-04-03, Taylor Ward, Gunnar Henderson, Pete Alonso, Adley Rutschman, Samuel Basallo, Dylan Beavers, Jeremiah Jackson, Colton Cowser, Blaze Alexander,
2026-04-04, Taylor Ward, Gunnar Henderson, Pete Alonso, Adley Rutschman, Dylan Beavers, Coby Mayo, Leody Taveras, Colton Cowser, Blaze Alexander,
2026-04-05, Taylor Ward, Gunnar Henderson, Pete Alonso, Samuel Basallo, Tyler O'Neill, Dylan Beavers, Leody Taveras, Jeremiah Jackson, Blaze Alexander,
2026-04-06, Taylor Ward, Gunnar Henderson, Pete Alonso, Adley Rutschman, Tyler O'Neill, Ryan Mountcastle, Colton Cowser, Coby Mayo, Jeremiah Jackson,
2026-04-07, Taylor Ward, Gunnar Henderson, Pete Alonso, Samuel Basallo, Dylan Beavers, Jeremiah Jackson, Colton Cowser, Coby Mayo, Blaze Alexander,
2026-04-08, Gunnar Henderson, Taylor Ward, Adley Rutschman, Pete Alonso, Tyler O'Neill, Ryan Mountcastle, Dylan Beavers, Coby Mayo, Blaze Alexander,
2026-04-10, Gunnar Henderson, Taylor Ward, Adley Rutschman, Pete Alonso, Samuel Basallo, Dylan Beavers, Leody Taveras, Jeremiah Jackson, Blaze Alexander,
2026-04-11, Gunnar Henderson, Taylor Ward, Pete Alonso, Samuel Basallo, Ryan Mountcastle, Leody Taveras, Colton Cowser, Coby Mayo, Jeremiah Jackson,
2026-04-12, Gunnar Henderson, Taylor Ward, Pete Alonso, Samuel Basallo, Dylan Beavers, Leody Taveras, Colton Cowser, Coby Mayo, Jeremiah Jackson,
2026-04-13, Gunnar Henderson, Taylor Ward, Pete Alonso, Samuel Basallo, Dylan Beavers, Leody Taveras, Colton Cowser, Jeremiah Jackson, Blaze Alexander,
2026-04-14, Gunnar Henderson, Taylor Ward, Pete Alonso, Samuel Basallo, Dylan Beavers, Leody Taveras, Colton Cowser, Jeremiah Jackson, Blaze Alexander,
2026-04-15, Taylor Ward, Gunnar Henderson, Pete Alonso, Johnathan Rodriguez, Weston Wilson, Jeremiah Jackson, Coby Mayo, Sam Huff, Blaze Alexander,
2026-04-16, Taylor Ward, Gunnar Henderson, Pete Alonso, Johnathan Rodriguez, Samuel Basallo, Jeremiah Jackson, Coby Mayo, Leody Taveras, Blaze Alexander,
2026-04-17, Gunnar Henderson, Taylor Ward, Pete Alonso, Dylan Beavers, Samuel Basallo, Leody Taveras, Colton Cowser, Coby Mayo, Jeremiah Jackson,
2026-04-18, Gunnar Henderson, Taylor Ward, Pete Alonso, Dylan Beavers, Colton Cowser, Leody Taveras, Samuel Basallo, Coby Mayo, Jeremiah Jackson,
2026-04-19, Taylor Ward, Gunnar Henderson, Pete Alonso, Johnathan Rodriguez, Jeremiah Jackson, Weston Wilson, Coby Mayo, Sam Huff, Blaze Alexander,
2026-04-20, Gunnar Henderson, Taylor Ward, Dylan Beavers, Pete Alonso, Samuel Basallo, Jeremiah Jackson, Colton Cowser, Leody Taveras, Blaze Alexander,
2026-04-21, Taylor Ward, Gunnar Henderson, Adley Rutschman, Pete Alonso, Jeremiah Jackson, Weston Wilson, Leody Taveras, Coby Mayo, Blaze Alexander,
2026-04-22, Gunnar Henderson, Taylor Ward, Dylan Beavers, Pete Alonso, Samuel Basallo, Leody Taveras, Jeremiah Jackson, Colton Cowser, Coby Mayo,
2026-04-24, Gunnar Henderson, Taylor Ward, Adley Rutschman, Pete Alonso, Dylan Beavers, Samuel Basallo, Leody Taveras, Coby Mayo, Jeremiah Jackson,
2026-04-25, Taylor Ward, Gunnar Henderson, Adley Rutschman, Pete Alonso, Tyler O'Neill, Jeremiah Jackson, Leody Taveras, Coby Mayo, Blaze Alexander,
2026-04-26, Taylor Ward, Gunnar Henderson, Adley Rutschman, Pete Alonso, Tyler O'Neill, Samuel Basallo, Jeremiah Jackson, Dylan Beavers, Blaze Alexander,
2026-04-28, Gunnar Henderson, Taylor Ward, Adley Rutschman, Pete Alonso, Samuel Basallo, Leody Taveras, Dylan Beavers, Coby Mayo, Jeremiah Jackson,
