date,lineup1,lineup2,lineup3,lineup4,lineup5,lineup6,lineup7,lineup8,lineup9,
2024-03-28, Andy Ibanez, Spencer Torkelson, Riley Greene, Mark Canha, Matt Vierling, Colt Keith, Jake Rogers, Javier Baez, Parker Meadows,
2024-03-30, Parker Meadows, Spencer Torkelson, Riley Greene, Kerry Carpenter, Mark Canha, Colt Keith, Carson Kelly, Javier Baez, Zach McKinstry,
2024-03-31, Parker Meadows, Spencer Torkelson, Kerry Carpenter, Riley Greene, Mark Canha, Colt Keith, Gio Urshela, Javier Baez, Jake Rogers,
2024-04-01, Matt Vierling, Andy Ibanez, Spencer Torkelson, Riley Greene, Mark Canha, Jake Rogers, Gio Urshela, Javier Baez, Carson Kelly,
2024-04-04a, Parker Meadows, Spencer Torkelson, Kerry Carpenter, Riley Greene, Mark Canha, Colt Keith, Andy Ibanez, Javier Baez, Jake Rogers,
2024-04-04b, Parker Meadows, Spencer Torkelson, Kerry Carpenter, Riley Greene, Matt Vierling, Colt Keith, Carson Kelly, Gio Urshela, Zach McKinstry,
2024-04-05, Matt Vierling, Andy Ibanez, Spencer Torkelson, Riley Greene, Mark Canha, Gio Urshela, Jake Rogers, Javier Baez, Parker Meadows,
2024-04-06, Parker Meadows, Spencer Torkelson, Kerry Carpenter, Riley Greene, Mark Canha, Colt Keith, Gio Urshela, Javier Baez, Carson Kelly,
2024-04-07, Parker Meadows, Riley Greene, Spencer Torkelson, Kerry Carpenter, Colt Keith, Mark Canha, Gio Urshela, Zach McKinstry, Carson Kelly,
2024-04-08, Parker Meadows, Riley Greene, Spencer Torkelson, Kerry Carpenter, Colt Keith, Matt Vierling, Javier Baez, Zach McKinstry, Jake Rogers,
2024-04-09, Matt Vierling, Mark Canha, Riley Greene, Spencer Torkelson, Gio Urshela, Colt Keith, Carson Kelly, Javier Baez, Jake Rogers,
2024-04-12, Riley Greene, Mark Canha, Spencer Torkelson, Kerry Carpenter, Colt Keith, Gio Urshela, Parker Meadows, Javier Baez, Jake Rogers,
2024-04-13a, Riley Greene, Mark Canha, Spencer Torkelson, Kerry Carpenter, Colt Keith, Matt Vierling, Zach McKinstry, Carson Kelly, Parker Meadows,
2024-04-13b, Riley Greene, Mark Canha, Spencer Torkelson, Kerry Carpenter, Colt Keith, Gio Urshela, Wenceel Perez, Javier Baez, Jake Rogers,
2024-04-14, Riley Greene, Mark Canha, Spencer Torkelson, Kerry Carpenter, Colt Keith, Gio Urshela, Parker Meadows, Javier Baez, Carson Kelly,
