date,lineup1,lineup2,lineup3,lineup4,lineup5,lineup6,lineup7,lineup8,lineup9,
2025-03-27, Jonathan India, Bobby Witt Jr., Vinnie Pasquantino, Salvador Perez, Michael Massey, Hunter Renfroe, MJ Melendez, Cavan Biggio, Kyle Isbel,
2025-03-29, Jonathan India, Bobby Witt Jr., Vinnie Pasquantino, Salvador Perez, Michael Massey, MJ Melendez, Maikel Garcia, Cavan Biggio, Kyle Isbel,
2025-03-30, Jonathan India, Bobby Witt Jr., Vinnie Pasquantino, Salvador Perez, Michael Massey, Hunter Renfroe, Maikel Garcia, Freddy Fermin, Kyle Isbel,
2025-03-31, Jonathan India, Bobby Witt Jr., Vinnie Pasquantino, Salvador Perez, Michael Massey, Hunter Renfroe, MJ Melendez, Mark Canha, Maikel Garcia,
2025-04-01, Jonathan India, Bobby Witt Jr., Michael Massey, Salvador Perez, Cavan Biggio, Hunter Renfroe, MJ Melendez, Maikel Garcia, Kyle Isbel,
2025-04-02, Jonathan India, Bobby Witt Jr., Vinnie Pasquantino, Salvador Perez, Michael Massey, Hunter Renfroe, Cavan Biggio, Freddy Fermin, Kyle Isbel,
2025-04-04, Jonathan India, Bobby Witt Jr., Vinnie Pasquantino, Salvador Perez, Michael Massey, Cavan Biggio, Maikel Garcia, MJ Melendez, Kyle Isbel,
2025-04-05, Jonathan India, Bobby Witt Jr., Vinnie Pasquantino, Salvador Perez, Michael Massey, Hunter Renfroe, MJ Melendez, Maikel Garcia, Kyle Isbel,
2025-04-06, Jonathan India, Bobby Witt Jr., Vinnie Pasquantino, Salvador Perez, Mark Canha, Michael Massey, Hunter Renfroe, Maikel Garcia, Freddy Fermin,
2025-04-07, Jonathan India, Bobby Witt Jr., Vinnie Pasquantino, Salvador Perez, Michael Massey, Hunter Renfroe, MJ Melendez, Maikel Garcia, Kyle Isbel,
2025-04-08, Jonathan India, Bobby Witt Jr., Vinnie Pasquantino, Salvador Perez, Michael Massey, Mark Canha, MJ Melendez, Maikel Garcia, Kyle Isbel,
2025-04-09, Jonathan India, Bobby Witt Jr., Vinnie Pasquantino, Salvador Perez, Michael Massey, Hunter Renfroe, Cavan Biggio, Maikel Garcia, Kyle Isbel,
2025-04-10, Jonathan India, Bobby Witt Jr., Vinnie Pasquantino, Salvador Perez, Cavan Biggio, Maikel Garcia, MJ Melendez, Freddy Fermin, Drew Waters,
2025-04-11, Jonathan India, Bobby Witt Jr., Vinnie Pasquantino, Salvador Perez, Michael Massey, Hunter Renfroe, Drew Waters, Freddy Fermin, Kyle Isbel,
2025-04-12, Jonathan India, Bobby Witt Jr., Vinnie Pasquantino, Salvador Perez, Michael Massey, Cavan Biggio, Maikel Garcia, MJ Melendez, Kyle Isbel,
2025-04-13, Maikel Garcia, Bobby Witt Jr., Vinnie Pasquantino, Salvador Perez, Michael Massey, Hunter Renfroe, MJ Melendez, Freddy Fermin, Kyle Isbel,
2025-04-14, Jonathan India, Bobby Witt Jr., Vinnie Pasquantino, Salvador Perez, Michael Massey, Maikel Garcia, Cavan Biggio, Drew Waters, Kyle Isbel,
