date;lineup1;lineup2;lineup3;lineup4;lineup5;lineup6;lineup7;lineup8;lineup9;
2023-03-30;Yelich, Christian;Winker, Jesse;Adames, Willy;Tellez, Rowdy;Contreras, William;Urias, Luis;Mitchell, Garrett;Anderson, Brian;Turang, Brice;
2023-04-01;Brosseau, Mike;Adames, Willy;Yelich, Christian;Contreras, William;Voit, Luke;Tellez, Rowdy;Anderson, Brian;Miller, Owen;Wiemer, Joey;
2023-04-02;Yelich, Christian;Winker, Jesse;Adames, Willy;Tellez, Rowdy;Anderson, Brian;Mitchell, Garrett;Caratini, Victor;Turang, Brice;Wiemer, Joey;
2023-04-03;Yelich, Christian;Winker, Jesse;Adames, Willy;Tellez, Rowdy;Contreras, William;Mitchell, Garrett;Anderson, Brian;Turang, Brice;Wiemer, Joey;
2023-04-04;Yelich, Christian;Winker, Jesse;Adames, Willy;Tellez, Rowdy;Anderson, Brian;Mitchell, Garrett;Caratini, Victor;Turang, Brice;Wiemer, Joey;
2023-04-05;Brosseau, Mike;Adames, Willy;Yelich, Christian;Contreras, William;Voit, Luke;Anderson, Brian;Winker, Jesse;Miller, Owen;Wiemer, Joey;
2023-04-07;Yelich, Christian;Winker, Jesse;Adames, Willy;Tellez, Rowdy;Contreras, William;Mitchell, Garrett;Anderson, Brian;Turang, Brice;Wiemer, Joey;
2023-04-08;Brosseau, Mike;Adames, Willy;Yelich, Christian;Contreras, William;Voit, Luke;Anderson, Brian;Miller, Owen;Wiemer, Joey;Caratini, Victor;
2023-04-09;Yelich, Christian;Winker, Jesse;Adames, Willy;Tellez, Rowdy;Contreras, William;Mitchell, Garrett;Anderson, Brian;Turang, Brice;Wiemer, Joey;
2023-04-10;Yelich, Christian;Adames, Willy;Tellez, Rowdy;Contreras, William;Anderson, Brian;Mitchell, Garrett;Voit, Luke;Turang, Brice;Wiemer, Joey;
2023-04-11;Yelich, Christian;Adames, Willy;Tellez, Rowdy;Anderson, Brian;Mitchell, Garrett;Caratini, Victor;Turang, Brice;Wiemer, Joey;Brosseau, Mike;
2023-04-12;Yelich, Christian;Adames, Willy;Tellez, Rowdy;Contreras, William;Mitchell, Garrett;Voit, Luke;Turang, Brice;Wiemer, Joey;Brosseau, Mike;
2023-04-13;Yelich, Christian;Adames, Willy;Tellez, Rowdy;Contreras, William;Mitchell, Garrett;Anderson, Brian;Voit, Luke;Turang, Brice;Brosseau, Mike;
2023-04-14;Yelich, Christian;Adames, Willy;Contreras, William;Tellez, Rowdy;Anderson, Brian;Voit, Luke;Brosseau, Mike;Miller, Owen;Wiemer, Joey;
2023-04-15;Yelich, Christian;Winker, Jesse;Adames, Willy;Tellez, Rowdy;Anderson, Brian;Mitchell, Garrett;Caratini, Victor;Turang, Brice;Wiemer, Joey;
2023-04-16;Yelich, Christian;Adames, Willy;Tellez, Rowdy;Contreras, William;Mitchell, Garrett;Anderson, Brian;Turang, Brice;Brosseau, Mike;Wiemer, Joey;
2023-04-17;Yelich, Christian;Adames, Willy;Contreras, William;Tellez, Rowdy;Anderson, Brian;Voit, Luke;Mitchell, Garrett;Miller, Owen;Wiemer, Joey;
2023-04-18;Yelich, Christian;Winker, Jesse;Adames, Willy;Tellez, Rowdy;Anderson, Brian;Mitchell, Garrett;Caratini, Victor;Turang, Brice;Miller, Owen;
2023-04-19;Brosseau, Mike;Adames, Willy;Contreras, William;Winker, Jesse;Anderson, Brian;Voit, Luke;Miller, Owen;Wiemer, Joey;Turang, Brice;
2023-04-21;Yelich, Christian;Winker, Jesse;Adames, Willy;Tellez, Rowdy;Tellez, Rowdy;Contreras, William;Anderson, Brian;Turang, Brice;Miller, Owen;
2023-04-22;Yelich, Christian;Winker, Jesse;Adames, Willy;Tellez, Rowdy;Contreras, William;Anderson, Brian;Turang, Brice;Wiemer, Joey;Perkins, Blake;
2023-04-23;Yelich, Christian;Winker, Jesse;Adames, Willy;Tellez, Rowdy;Anderson, Brian;Caratini, Victor;Turang, Brice;Wiemer, Joey;Perkins, Blake;
2023-04-24;Brosseau, Mike;Adames, Willy;Contreras, William;Anderson, Brian;Voit, Luke;Miller, Owen;Wiemer, Joey;Perkins, Blake;Turang, Brice;
2023-04-25;Yelich, Christian;Winker, Jesse;Adames, Willy;Tellez, Rowdy;Contreras, William;Anderson, Brian;Turang, Brice;Miller, Owen;Wiemer, Joey;
2023-04-26;Yelich, Christian;Winker, Jesse;Adames, Willy;Tellez, Rowdy;Anderson, Brian;Caratini, Victor;Turang, Brice;Brosseau, Mike;Wiemer, Joey;
2023-04-28;Yelich, Christian;Adames, Willy;Contreras, William;Brosseau, Mike;Anderson, Brian;Voit, Luke;Tellez, Rowdy;Miller, Owen;Wiemer, Joey;
2023-04-29;Yelich, Christian;Adames, Willy;Contreras, William;Brosseau, Mike;Anderson, Brian;Voit, Luke;Caratini, Victor;Miller, Owen;Wiemer, Joey;
2023-04-30;Brosseau, Mike;Adames, Willy;Contreras, William;Anderson, Brian;Tellez, Rowdy;Voit, Luke;Miller, Owen;Wiemer, Joey;Perkins, Blake;
2023-05-02;Yelich, Christian;Winker, Jesse;Adames, Willy;Tellez, Rowdy;Contreras, William;Anderson, Brian;Turang, Brice;Taylor, Tyrone;Wiemer, Joey;
2023-05-03;Yelich, Christian;Adames, Willy;Contreras, William;Brosseau, Mike;Tellez, Rowdy;Voit, Luke;Taylor, Tyrone;Miller, Owen;Wiemer, Joey;
2023-05-04;Yelich, Christian;Winker, Jesse;Adames, Willy;Tellez, Rowdy;Anderson, Brian;Caratini, Victor;Turang, Brice;Taylor, Tyrone;Wiemer, Joey;
2023-05-05;Contreras, William;Miller, Owen;Adames, Willy;Yelich, Christian;Anderson, Brian;Voit, Luke;Caratini, Victor;Taylor, Tyrone;Wiemer, Joey;
2023-05-06;Yelich, Christian;Winker, Jesse;Adames, Willy;Tellez, Rowdy;Contreras, William;Anderson, Brian;Turang, Brice;Miller, Owen;Wiemer, Joey;
