date;lineup1;lineup2;lineup3;lineup4;lineup5;lineup6;lineup7;lineup8;lineup9;
2023-03-30;Wade Jr., LaMonte;Conforto, Michael;Flores, Wilmer;Pederson, Joc;Yastrzemski, Mike;Estrada, Thairo;Crawford, Brandon;Sabol, Blake;Perez, Roberto;
2023-04-01;Wade Jr., LaMonte;Conforto, Michael;Estrada, Thairo;Pederson, Joc;Yastrzemski, Mike;Villar, David;Crawford, Brandon;Sabol, Blake;Perez, Roberto;
2023-04-02;Wade Jr., LaMonte;Conforto, Michael;Davis, J.D.;Pederson, Joc;Yastrzemski, Mike;Villar, David;Crawford, Brandon;Sabol, Blake;Estrada, Thairo;
2023-04-03;Wade Jr., LaMonte;Conforto, Michael;Estrada, Thairo;Pederson, Joc;Yastrzemski, Mike;Villar, David;Crawford, Brandon;Sabol, Blake;Perez, Roberto;
2023-04-05;Wade Jr., LaMonte;Conforto, Michael;Villar, David;Pederson, Joc;Yastrzemski, Mike;Davis, J.D.;Crawford, Brandon;Sabol, Blake;Perez, Roberto;
2023-04-06;Wade Jr., LaMonte;Flores, Wilmer;Pederson, Joc;Villar, David;Conforto, Michael;Davis, J.D.;Yastrzemski, Mike;Estrada, Thairo;Sabol, Blake;
2023-04-07;Wade Jr., LaMonte;Conforto, Michael;Villar, David;Pederson, Joc;Yastrzemski, Mike;Estrada, Thairo;Crawford, Brandon;Sabol, Blake;Perez, Roberto;
2023-04-08;Wade Jr., LaMonte;Conforto, Michael;Davis, J.D.;Pederson, Joc;Yastrzemski, Mike;Estrada, Thairo;Crawford, Brandon;Sabol, Blake;Johnson, Bryce;
2023-04-09;Estrada, Thairo;Flores, Wilmer;Conforto, Michael;Davis, J.D.;Villar, David;Crawford, Brandon;Wynns, Austin;Ramos, Heliot;Johnson, Bryce;
2023-04-10;Estrada, Thairo;Flores, Wilmer;Yastrzemski, Mike;Davis, J.D.;Villar, David;Crawford, Brandon;Bart, Joey;Ramos, Heliot;Johnson, Bryce;
2023-04-11;Wade Jr., LaMonte;Conforto, Michael;Davis, J.D.;Pederson, Joc;Yastrzemski, Mike;Villar, David;Crawford, Brandon;Sabol, Blake;Johnson, Bryce;
2023-04-12;Estrada, Thairo;Flores, Wilmer;Conforto, Michael;Davis, J.D.;Ruf, Darin;Villar, David;Yastrzemski, Mike;Bart, Joey;Ramos, Heliot;
2023-04-14;Estrada, Thairo;Flores, Wilmer;Yastrzemski, Mike;Davis, J.D.;Ruf, Darin;Villar, David;Crawford, Brandon;Bart, Joey;Ramos, Heliot;
2023-04-15;Wade Jr., LaMonte;Estrada, Thairo;Yastrzemski, Mike;Davis, J.D.;Beaty, Matt;Flores, Wilmer;Crawford, Brandon;Bart, Joey;Sabol, Blake;
2023-04-17;Estrada, Thairo;Flores, Wilmer;Ruf, Darin;Davis, J.D.;Villar, David;Yastrzemski, Mike;Bart, Joey;Ramos, Heliot;Crawford, Brandon;
2023-04-18;Wade Jr., LaMonte;Estrada, Thairo;Yastrzemski, Mike;Davis, J.D.;Flores, Wilmer;Crawford, Brandon;Villar, David;Sabol, Blake;Wisely, Brett;
2023-04-19;Estrada, Thairo;Flores, Wilmer;Ruf, Darin;Davis, J.D.;Villar, David;Yastrzemski, Mike;Bart, Joey;Ramos, Heliot;Wade Jr., LaMonte;
