date,lineup1,lineup2,lineup3,lineup4,lineup5,lineup6,lineup7,lineup8,lineup9,
2026-02-21, Ernie Clement, Andres Gimenez, Vladimir Guerrero Jr., Alejandro Kirk, Addison Barger, Kazuma Okamoto, Daulton Varsho, Davis Schneider, Nathan Lukes,
2026-02-22, Myles Straw, Jesus Sanchez, Eloy Jimenez, RJ Schreck, Leo Jimenez, Brandon Valenzuela, Arjun Nimmala, Riley Tirotta, Riley Tirotta,
2026-02-23, Andres Gimenez, Ernie Clement, Vladimir Guerrero Jr., Alejandro Kirk, Addison Barger, Kazuma Okamoto, Daulton Varsho, Nathan Lukes, Davis Schneider,
2026-02-24, Myles Straw, Daulton Varsho, Jesus Sanchez, Davis Schneider, Leo Jimenez, Brandon Valenzuela, Josh Kasevich, Riley Tirotta, Ben Cowles,
2026-02-25, Ernie Clement, Andres Gimenez, Vladimir Guerrero Jr., Alejandro Kirk, Kazuma Okamoto, Eloy Jimenez, Nathan Lukes, Jonatan Clase, Sean Keys,
2026-02-26, George Springer, Daulton Varsho, Vladimir Guerrero Jr., Addison Barger, Alejandro Kirk, Kazuma Okamoto, Ernie Clement, Andres Gimenez, Myles Straw,
2026-02-27, Nathan Lukes, Davis Schneider, Addison Barger, Jesus Sanchez, Eloy Jimenez, Leo Jimenez, C.J. Stubbs, Ben Cowles, Riley Tirotta,
2026-02-28a, George Springer, Andres Gimenez, Vladimir Guerrero Jr., Daulton Varsho, Alejandro Kirk, Ernie Clement, Jesus Sanchez, Nathan Lukes, Ben Cowles,
2026-02-28b, Leo Jimenez, Addison Barger, Davis Schneider, Eloy Jimenez, Tyler Heineman, Myles Straw, Sean Keys, Arjun Nimmala, Charles McAdoo,
2026-03-01, Jonatan Clase, Daulton Varsho, Jesus Sanchez, Brandon Valenzuela, Yohendrick Pinango, Arjun Nimmala, Rafael Lantigua, Charles McAdoo, Sean Keys,
2026-03-02, George Springer, Nathan Lukes, Davis Schneider, Addison Barger, Jesus Sanchez, Tyler Heineman, Myles Straw, Josh Kasevich, Riley Tirotta,
2026-03-05, Myles Straw, Addison Barger, Davis Schneider, Jesus Sanchez, Tyler Heineman, Eloy Jimenez, Jonatan Clase, Arjun Nimmala, Sean Keys,
2026-03-06, Nathan Lukes, Davis Schneider, Addison Barger, Daulton Varsho, Eloy Jimenez, Brandon Valenzuela, Josh Rivera, Rafael Lantigua, Riley Tirotta,
2026-03-07, Myles Straw, Jesus Sanchez, Eloy Jimenez, Daulton Varsho, Tyler Heineman, Nathan Lukes, Carlos Mendoza, Josh Kasevich, Charles McAdoo,
2026-03-08a, George Springer, Nathan Lukes, Davis Schneider, Daulton Varsho, Addison Barger, Tyler Heineman, Jonatan Clase, Josh Kasevich, Sean Keys,
2026-03-08b, Myles Straw, Jesus Sanchez, Eloy Jimenez, Brandon Valenzuela, Yohendrick Pinango, Charles McAdoo, Rafael Lantigua, Arjun Nimmala, Arjun Nimmala,
2026-03-10, George Springer, Jesus Sanchez, Tyler Heineman, Addison Barger, Daulton Varsho, Davis Schneider, Nathan Lukes, Josh Kasevich, Josh Kasevich,
2026-03-11, Myles Straw, Nathan Lukes, Jesus Sanchez, Eloy Jimenez, Brandon Valenzuela, Rafael Lantigua, Sean Keys, Arjun Nimmala, Charles McAdoo,
2026-03-12, George Springer, Davis Schneider, Tyler Heineman, Daulton Varsho, Leo Jimenez, Josh Kasevich, RJ Schreck, Riley Tirotta, Josh Rivera,
2026-03-13, George Springer, Daulton Varsho, Addison Barger, Jesus Sanchez, Brandon Valenzuela, Sean Keys, Rafael Lantigua, Arjun Nimmala, Carlos Mendoza,
2026-03-14, George Springer, Davis Schneider, Alejandro Kirk, Eloy Jimenez, Daulton Varsho, Leo Jimenez, Myles Straw, Josh Kasevich, Riley Tirotta,
2026-03-15, George Springer, Daulton Varsho, Davis Schneider, Addison Barger, Jesus Sanchez, Nathan Lukes, Leo Jimenez, Brandon Valenzuela, Charles McAdoo,
2026-03-16, George Springer, Nathan Lukes, Davis Schneider, Addison Barger, Daulton Varsho, Myles Straw, C.J. Stubbs, Riley Tirotta, Arjun Nimmala,
2026-03-18, George Springer, Daulton Varsho, Alejandro Kirk, Addison Barger, Kazuma Okamoto, Nathan Lukes, Davis Schneider, Eloy Jimenez, Leo Jimenez,
2026-03-19, George Springer, Daulton Varsho, Vladimir Guerrero Jr., Addison Barger, Alejandro Kirk, Jesus Sanchez, Kazuma Okamoto, Ernie Clement, Andres Gimenez,
2026-03-20, Myles Straw, Nathan Lukes, Jesus Sanchez, Davis Schneider, Tyler Heineman, Leo Jimenez, Sean Keys, Arjun Nimmala, Josh Kasevich,
2026-03-21, George Springer, Nathan Lukes, Vladimir Guerrero Jr., Addison Barger, Alejandro Kirk, Daulton Varsho, Kazuma Okamoto, Ernie Clement, Andres Gimenez,
